Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-lang,org.apache.commons.lang3.compare,ObjectToStringComparator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE
commons-lang,org.apache.commons.lang3.compare,ComparableUtils.ComparableCheckBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.text,StrSubstitutor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_ESCAPE; DEFAULT_PREFIX; DEFAULT_SUFFIX; DEFAULT_VALUE_DELIMITER
commons-lang,org.apache.commons.lang3.text,StrBuilder,Law of Demeter violation,The tool detected the smell in this method (appendln) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.text.StrBuilder.appendNewLine; org.apache.commons.lang3.text.StrBuilder.append
commons-lang,org.apache.commons.lang3.builder,EqualsBuilderTest.TestACanEqualB,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.builder,EqualsBuilderTest.TestBCanEqualA,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.builder,ToStringStyle,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_STYLE; MULTI_LINE_STYLE; NO_FIELD_NAMES_STYLE; SHORT_PREFIX_STYLE; SIMPLE_STYLE; NO_CLASS_NAME_STYLE; JSON_STYLE
commons-lang,org.apache.commons.lang3.builder,DiffResult,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: OBJECTS_SAME_STRING
commons-lang,org.apache.commons.lang3.builder,ReflectionDiffBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
commons-lang,org.apache.commons.lang3.builder,EqualsBuilder,Law of Demeter violation,The tool detected the smell in this method (reflectionEquals) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.builder.EqualsBuilder.setTestTransients; org.apache.commons.lang3.builder.EqualsBuilder.isEquals; org.apache.commons.lang3.builder.EqualsBuilder.reflectionAppend; org.apache.commons.lang3.builder.EqualsBuilder.setReflectUpToClass; org.apache.commons.lang3.builder.EqualsBuilder.setTestRecursive
commons-lang,org.apache.commons.lang3.exception,ExceptionUtilsTest.TestThrowable,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.event,EventUtilsTest.EventCounter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.event,EventUtilsTest.EventCounterWithEvent,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.event,EventUtilsTest.MultipleEventSource,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.event,EventUtilsTest.ExceptionEventSource,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.event,EventUtilsTest.PropertyChangeSource,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
